timestamp,open,high,low,close,volume
2020-09-25 19:52:00,5.0400,5.0400,5.0400,5.0400,223
2020-09-25 19:48:00,5.0300,5.0300,5.0300,5.0300,374
2020-09-25 19:42:00,5.0100,5.0100,5.0100,5.0100,1002
2020-09-25 19:37:00,5.0300,5.0300,5.0300,5.0300,100
2020-09-25 19:31:00,5.0300,5.0300,5.0300,5.0300,115
2020-09-25 19:29:00,5.0000,5.0000,5.0000,5.0000,288
2020-09-25 19:27:00,5.0100,5.0100,5.0100,5.0100,247
2020-09-25 19:13:00,5.0300,5.0300,5.0300,5.0300,250
2020-09-25 19:04:00,5.0400,5.0400,5.0400,5.0400,306
2020-09-25 19:02:00,5.0800,5.0800,5.0800,5.0800,200
2020-09-25 18:48:00,5.0500,5.0500,5.0500,5.0500,166
2020-09-25 18:44:00,5.0800,5.0800,5.0800,5.0800,400
2020-09-25 18:35:00,5.0600,5.0600,5.0600,5.0600,200
2020-09-25 18:13:00,5.0500,5.0500,5.0500,5.0500,117
2020-09-25 17:55:00,5.0500,5.0500,5.0500,5.0500,200
2020-09-25 17:48:00,5.0700,5.0700,5.0700,5.0700,553
2020-09-25 17:44:00,5.0700,5.0700,5.0400,5.0400,1256
2020-09-25 17:38:00,5.0700,5.0700,5.0700,5.0700,439
2020-09-25 17:33:00,5.0600,5.0600,5.0600,5.0600,204
2020-09-25 17:26:00,5.0700,5.0800,5.0700,5.0800,2000
2020-09-25 17:24:00,5.0700,5.0700,5.0700,5.0700,500
2020-09-25 17:19:00,5.0800,5.0800,5.0800,5.0800,300
2020-09-25 17:07:00,5.0602,5.0700,5.0602,5.0700,301
2020-09-25 16:55:00,5.0602,5.0602,5.0602,5.0602,205
2020-09-25 16:48:00,5.0700,5.0700,5.0700,5.0700,1742
2020-09-25 16:42:00,5.0300,5.0500,5.0300,5.0300,8399
2020-09-25 16:36:00,5.0500,5.0500,5.0500,5.0500,663
2020-09-25 16:33:00,5.0100,5.0200,5.0100,5.0200,1207
2020-09-25 16:30:00,5.0500,5.0500,5.0500,5.0500,207
2020-09-25 16:26:00,5.0500,5.0500,5.0300,5.0300,546
2020-09-25 16:22:00,5.0550,5.0600,5.0550,5.0600,1014
2020-09-25 16:17:00,5.0500,5.0500,5.0500,5.0500,492
2020-09-25 16:15:00,5.0299,5.0299,5.0299,5.0299,128
2020-09-25 16:09:00,5.0100,5.0100,5.0100,5.0100,5003
2020-09-25 16:05:00,5.0500,5.0500,5.0500,5.0500,615
2020-09-25 15:59:00,5.0550,5.0699,5.0532,5.0645,64820
2020-09-25 15:57:00,5.0750,5.0800,5.0700,5.0750,41476
2020-09-25 15:55:00,5.0450,5.0700,5.0400,5.0664,180236
2020-09-25 15:53:00,5.0400,5.0400,5.0301,5.0350,16506
2020-09-25 15:51:00,5.0250,5.0400,5.0200,5.0400,34222
2020-09-25 15:49:00,5.0150,5.0200,5.0100,5.0162,27126
2020-09-25 15:47:00,5.0200,5.0200,5.0100,5.0150,98897
2020-09-25 15:45:00,5.0100,5.0200,5.0100,5.0150,10698
2020-09-25 15:43:00,5.0152,5.0200,5.0100,5.0173,14570
2020-09-25 15:41:00,5.0173,5.0200,5.0100,5.0100,9082
2020-09-25 15:39:00,5.0100,5.0200,5.0100,5.0150,3034
2020-09-25 15:37:00,5.0119,5.0200,5.0100,5.0150,6819
2020-09-25 15:35:00,5.0301,5.0400,5.0300,5.0301,18749
2020-09-25 15:33:00,5.0400,5.0400,5.0300,5.0350,16745
