timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-04-07,57990.03000000,58655.00000000,55473.00000000,55953.45000000,57990.03000000,58655.00000000,55473.00000000,55953.45000000,71228.40565900,71228.40565900
2021-04-05,58202.01000000,59272.00000000,56777.77000000,59129.99000000,58202.01000000,59272.00000000,56777.77000000,59129.99000000,54258.01579000,54258.01579000
2021-04-03,58950.01000000,59791.72000000,56880.00000000,57051.94000000,58950.01000000,59791.72000000,56880.00000000,57051.94000000,47409.85211300,47409.85211300
2021-04-01,58739.46000000,59490.00000000,57935.45000000,58720.44000000,58739.46000000,59490.00000000,57935.45000000,58720.44000000,47415.61722000,47415.61722000
2021-03-30,57635.46000000,59368.00000000,57071.35000000,58746.57000000,57635.46000000,59368.00000000,57071.35000000,58746.57000000,55122.44312200,55122.44312200
2021-03-28,55817.14000000,56559.75000000,54691.84000000,55777.63000000,55817.14000000,56559.75000000,54691.84000000,55777.63000000,39050.38751100,39050.38751100
2021-03-26,51293.78000000,55073.46000000,51214.60000000,55025.59000000,51293.78000000,55073.46000000,51214.60000000,55025.59000000,63813.77469200,63813.77469200
2021-03-24,54342.80000000,57200.00000000,51700.00000000,52303.65000000,54342.80000000,57200.00000000,51700.00000000,52303.65000000,83537.46502100,83537.46502100
2021-03-22,57351.56000000,58430.73000000,53650.00000000,54083.25000000,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62581.62616900,62581.62616900
2021-03-20,58030.01000000,59880.00000000,57820.17000000,58102.28000000,58030.01000000,59880.00000000,57820.17000000,58102.28000000,44476.94177600,44476.94177600
2021-03-18,58912.97000000,60129.97000000,57023.00000000,57648.16000000,58912.97000000,60129.97000000,57023.00000000,57648.16000000,66580.40667500,66580.40667500
2021-03-16,55605.20000000,56938.29000000,53271.34000000,56900.75000000,55605.20000000,56938.29000000,53271.34000000,56900.75000000,77986.69435500,77986.69435500
2021-03-14,61188.38000000,61724.79000000,58966.78000000,58968.31000000,61188.38000000,61724.79000000,58966.78000000,58968.31000000,52601.05275000,52601.05275000
2021-03-12,57773.15000000,58081.51000000,54962.84000000,57221.72000000,57773.15000000,58081.51000000,54962.84000000,57221.72000000,73405.40604700,73405.40604700
2021-03-10,54874.67000000,57387.69000000,53005.00000000,55851.59000000,54874.67000000,57387.69000000,53005.00000000,55851.59000000,84749.23894300,84749.23894300
2021-03-08,50959.11000000,52402.78000000,49274.67000000,52375.17000000,50959.11000000,52402.78000000,49274.67000000,52375.17000000,66987.35966400,66987.35966400
2021-03-06,48746.81000000,49200.00000000,47070.00000000,48882.20000000,48746.81000000,49200.00000000,47070.00000000,48882.20000000,44399.23424200,44399.23424200
2021-03-04,50349.37000000,51773.88000000,47500.00000000,48374.09000000,50349.37000000,51773.88000000,47500.00000000,48374.09000000,82649.71682900,82649.71682900
2021-03-02,49595.76000000,50200.00000000,47047.60000000,48440.65000000,49595.76000000,50200.00000000,47047.60000000,48440.65000000,64221.06214000,64221.06214000
